25
2 2
3 2
2 3
3 3
0 2
1 2
0 3
1 3
0 1
0 0
1 0
2 1
5 5
5 8
2 0
6 0
5 2
5 3
1 1
7 0
5 1
8 1
4 2
6 2
0 0 dark
3 8
0 4
1 4
0 5
3 0
3 1
1 5
0 6
1 6
0 7
1 7
5 0
8 0
4 4
5 4
6 4
4 0
4 1
2 4
3 4
2 5
3 5
2 6
3 6
2 7
3 7
5 6
5 7
4 5 destructable
4 6
4 7
4 8
6 8
0 8 deadly
1 8 deadly
2 8 deadly
9 0
10 0
11 0
12 0
9 1
10 1
11 1
12 1
7 2
8 2
9 2
11 2
12 2
7 3
8 3
10 3
11 3
12 3
13 3
13 4
10 4
7 4
8 4
9 4
6 5
7 5
8 5
9 5
10 5
6 6
7 6
9 6
10 6
6 7
7 7
8 7
9 7
10 7
7 8
8 8
9 8
6 1
7 1
4 3
6 3
